"元ファイル名","コントロールカラム","商品管理番号","商品名","価格","商品URL","商品CPC","キーワード","キーワードCPC","目安CPC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","5366287g","【最大20％OFFクーポン】フロントホックブラ ブラジャー セット 大きいサイズ 紐パン セクシー ブラ ショーツセット 谷間ブラ 盛りブラ Eカップ Fカップ G カップ Hカップ<br>レースベールブラ＆ショーツセット 【tu-hacci】","4680","https://item.rakuten.co.jp/tu-hacci/5366287g/","20","フロントホック 大きいサイズ","40","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8187","【最大20％OFFクーポン】《育乳ナイトブラ Light》ナイトブラ 大きいサイズ 授乳ブラ 育乳ブラ マタニティ ブラ ノンワイヤーブラ ブラジャー ノンワイヤー マタニティブラ ゆったり 苦しくない しめつけない リラックス【tu-hacci】","1980","https://item.rakuten.co.jp/tu-hacci/8187/","20","ナイトブラ ゆったり","40","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8187","【最大20％OFFクーポン】《育乳ナイトブラ Light》ナイトブラ 大きいサイズ 授乳ブラ 育乳ブラ マタニティ ブラ ノンワイヤーブラ ブラジャー ノンワイヤー マタニティブラ ゆったり 苦しくない しめつけない リラックス【tu-hacci】","1980","https://item.rakuten.co.jp/tu-hacci/8187/","20","育乳ブラ ナイトブラ","40","501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8256set","「タイプが選べる♪」福袋価格！《ナイトブラ 2枚セット》<br>ナイトブラ  補正下着 ブラジャー ノンワイヤー ブラセット 昼夜兼用 福袋 下着 レディース 脇高ブラ マタニティ ブラ 脇高 ノンワイヤーブラ 2026【tu-hacci】","3980","https://item.rakuten.co.jp/tu-hacci/8256set/","20","ナイトブラ","130","472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8256set","「タイプが選べる♪」福袋価格！《ナイトブラ 2枚セット》<br>ナイトブラ  補正下着 ブラジャー ノンワイヤー ブラセット 昼夜兼用 福袋 下着 レディース 脇高ブラ マタニティ ブラ 脇高 ノンワイヤーブラ 2026【tu-hacci】","3980","https://item.rakuten.co.jp/tu-hacci/8256set/","20","ナイトブラ 2枚セット","46","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8256set","「タイプが選べる♪」福袋価格！《ナイトブラ 2枚セット》<br>ナイトブラ  補正下着 ブラジャー ノンワイヤー ブラセット 昼夜兼用 福袋 下着 レディース 脇高ブラ マタニティ ブラ 脇高 ノンワイヤーブラ 2026【tu-hacci】","3980","https://item.rakuten.co.jp/tu-hacci/8256set/","20","ナイトブラ 人気","130","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8256set","「タイプが選べる♪」福袋価格！《ナイトブラ 2枚セット》<br>ナイトブラ  補正下着 ブラジャー ノンワイヤー ブラセット 昼夜兼用 福袋 下着 レディース 脇高ブラ マタニティ ブラ 脇高 ノンワイヤーブラ 2026【tu-hacci】","3980","https://item.rakuten.co.jp/tu-hacci/8256set/","20","ブラ 福袋","46","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8256set","「タイプが選べる♪」福袋価格！《ナイトブラ 2枚セット》<br>ナイトブラ  補正下着 ブラジャー ノンワイヤー ブラセット 昼夜兼用 福袋 下着 レディース 脇高ブラ マタニティ ブラ 脇高 ノンワイヤーブラ 2026【tu-hacci】","3980","https://item.rakuten.co.jp/tu-hacci/8256set/","20","福袋 インナー","46","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8256set","「タイプが選べる♪」福袋価格！《ナイトブラ 2枚セット》<br>ナイトブラ  補正下着 ブラジャー ノンワイヤー ブラセット 昼夜兼用 福袋 下着 レディース 脇高ブラ マタニティ ブラ 脇高 ノンワイヤーブラ 2026【tu-hacci】","3980","https://item.rakuten.co.jp/tu-hacci/8256set/","20","福袋 ナイトブラ","46","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8256set","「タイプが選べる♪」福袋価格！《ナイトブラ 2枚セット》<br>ナイトブラ  補正下着 ブラジャー ノンワイヤー ブラセット 昼夜兼用 福袋 下着 レディース 脇高ブラ マタニティ ブラ 脇高 ノンワイヤーブラ 2026【tu-hacci】","3980","https://item.rakuten.co.jp/tu-hacci/8256set/","20","福袋 ノンワイヤーブラ","46","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8256set","「タイプが選べる♪」福袋価格！《ナイトブラ 2枚セット》<br>ナイトブラ  補正下着 ブラジャー ノンワイヤー ブラセット 昼夜兼用 福袋 下着 レディース 脇高ブラ マタニティ ブラ 脇高 ノンワイヤーブラ 2026【tu-hacci】","3980","https://item.rakuten.co.jp/tu-hacci/8256set/","20","福袋 ブラジャー","46","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8256set","「タイプが選べる♪」福袋価格！《ナイトブラ 2枚セット》<br>ナイトブラ  補正下着 ブラジャー ノンワイヤー ブラセット 昼夜兼用 福袋 下着 レディース 脇高ブラ マタニティ ブラ 脇高 ノンワイヤーブラ 2026【tu-hacci】","3980","https://item.rakuten.co.jp/tu-hacci/8256set/","20","福袋 下着","46","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811","【最大20％OFFクーポン】お得な福袋も♪2点で6,960円⇒5,980円<br>福袋 育乳ナイトブラ ナイトブラ 夏 昼夜兼用  ブラジャー 授乳ブラ マタニティブラ 脇高 可愛い 大きいサイズ ノンワイヤー ラクシア 授乳 送料無料 イチオシ商品【tu-hacci】","3480","https://item.rakuten.co.jp/tu-hacci/8811/","40","ナイトブラ","199","173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811","【最大20％OFFクーポン】お得な福袋も♪2点で6,960円⇒5,980円<br>福袋 育乳ナイトブラ ナイトブラ 夏 昼夜兼用  ブラジャー 授乳ブラ マタニティブラ 脇高 可愛い 大きいサイズ ノンワイヤー ラクシア 授乳 送料無料 イチオシ商品【tu-hacci】","3480","https://item.rakuten.co.jp/tu-hacci/8811/","40","ナイトブラ かわいい","106","92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811","【最大20％OFFクーポン】お得な福袋も♪2点で6,960円⇒5,980円<br>福袋 育乳ナイトブラ ナイトブラ 夏 昼夜兼用  ブラジャー 授乳ブラ マタニティブラ 脇高 可愛い 大きいサイズ ノンワイヤー ラクシア 授乳 送料無料 イチオシ商品【tu-hacci】","3480","https://item.rakuten.co.jp/tu-hacci/8811/","40","ナイトブラ 大きいサイズ","180","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811","【最大20％OFFクーポン】お得な福袋も♪2点で6,960円⇒5,980円<br>福袋 育乳ナイトブラ ナイトブラ 夏 昼夜兼用  ブラジャー 授乳ブラ マタニティブラ 脇高 可愛い 大きいサイズ ノンワイヤー ラクシア 授乳 送料無料 イチオシ商品【tu-hacci】","3480","https://item.rakuten.co.jp/tu-hacci/8811/","40","ナイトブラ 福袋","48","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811","【最大20％OFFクーポン】お得な福袋も♪2点で6,960円⇒5,980円<br>福袋 育乳ナイトブラ ナイトブラ 夏 昼夜兼用  ブラジャー 授乳ブラ マタニティブラ 脇高 可愛い 大きいサイズ ノンワイヤー ラクシア 授乳 送料無料 イチオシ商品【tu-hacci】","3480","https://item.rakuten.co.jp/tu-hacci/8811/","40","ナイトブラ 育乳","138","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811","【最大20％OFFクーポン】お得な福袋も♪2点で6,960円⇒5,980円<br>福袋 育乳ナイトブラ ナイトブラ 夏 昼夜兼用  ブラジャー 授乳ブラ マタニティブラ 脇高 可愛い 大きいサイズ ノンワイヤー ラクシア 授乳 送料無料 イチオシ商品【tu-hacci】","3480","https://item.rakuten.co.jp/tu-hacci/8811/","40","ナイトブラ 補正","98","85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811","【最大20％OFFクーポン】お得な福袋も♪2点で6,960円⇒5,980円<br>福袋 育乳ナイトブラ ナイトブラ 夏 昼夜兼用  ブラジャー 授乳ブラ マタニティブラ 脇高 可愛い 大きいサイズ ノンワイヤー ラクシア 授乳 送料無料 イチオシ商品【tu-hacci】","3480","https://item.rakuten.co.jp/tu-hacci/8811/","40","ブラジャー ノンワイヤー","180","236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811","【最大20％OFFクーポン】お得な福袋も♪2点で6,960円⇒5,980円<br>福袋 育乳ナイトブラ ナイトブラ 夏 昼夜兼用  ブラジャー 授乳ブラ マタニティブラ 脇高 可愛い 大きいサイズ ノンワイヤー ラクシア 授乳 送料無料 イチオシ商品【tu-hacci】","3480","https://item.rakuten.co.jp/tu-hacci/8811/","40","授乳 ナイトブラ","89","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811","【最大20％OFFクーポン】お得な福袋も♪2点で6,960円⇒5,980円<br>福袋 育乳ナイトブラ ナイトブラ 夏 昼夜兼用  ブラジャー 授乳ブラ マタニティブラ 脇高 可愛い 大きいサイズ ノンワイヤー ラクシア 授乳 送料無料 イチオシ商品【tu-hacci】","3480","https://item.rakuten.co.jp/tu-hacci/8811/","40","育乳ブラ ナイトブラ","120","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811seta","※統合後の為、使用不可2枚セット特別価格　ナイトブラ 福袋 カラーおまかせ ※クーポン利用不可※<br>ナイトブラ 育乳 授乳ブラ ブラジャー ノンワイヤー マタニティ ブラ<br>まるごと包むナイトブラ ラクシア ツーハッチ 大きいサイズ 下着 小胸【tu-hacci】","5980","https://item.rakuten.co.jp/tu-hacci/8811seta/","20","ナイトブラ","40","692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811seta","※統合後の為、使用不可2枚セット特別価格　ナイトブラ 福袋 カラーおまかせ ※クーポン利用不可※<br>ナイトブラ 育乳 授乳ブラ ブラジャー ノンワイヤー マタニティ ブラ<br>まるごと包むナイトブラ ラクシア ツーハッチ 大きいサイズ 下着 小胸【tu-hacci】","5980","https://item.rakuten.co.jp/tu-hacci/8811seta/","20","ナイトブラ 2枚セット","40","171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811seta","※統合後の為、使用不可2枚セット特別価格　ナイトブラ 福袋 カラーおまかせ ※クーポン利用不可※<br>ナイトブラ 育乳 授乳ブラ ブラジャー ノンワイヤー マタニティ ブラ<br>まるごと包むナイトブラ ラクシア ツーハッチ 大きいサイズ 下着 小胸【tu-hacci】","5980","https://item.rakuten.co.jp/tu-hacci/8811seta/","20","ナイトブラ セット","40","298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811seta","※統合後の為、使用不可2枚セット特別価格　ナイトブラ 福袋 カラーおまかせ ※クーポン利用不可※<br>ナイトブラ 育乳 授乳ブラ ブラジャー ノンワイヤー マタニティ ブラ<br>まるごと包むナイトブラ ラクシア ツーハッチ 大きいサイズ 下着 小胸【tu-hacci】","5980","https://item.rakuten.co.jp/tu-hacci/8811seta/","20","ナイトブラ 授乳","40","249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811seta","※統合後の為、使用不可2枚セット特別価格　ナイトブラ 福袋 カラーおまかせ ※クーポン利用不可※<br>ナイトブラ 育乳 授乳ブラ ブラジャー ノンワイヤー マタニティ ブラ<br>まるごと包むナイトブラ ラクシア ツーハッチ 大きいサイズ 下着 小胸【tu-hacci】","5980","https://item.rakuten.co.jp/tu-hacci/8811seta/","20","ナイトブラ 福袋","40","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811seta","※統合後の為、使用不可2枚セット特別価格　ナイトブラ 福袋 カラーおまかせ ※クーポン利用不可※<br>ナイトブラ 育乳 授乳ブラ ブラジャー ノンワイヤー マタニティ ブラ<br>まるごと包むナイトブラ ラクシア ツーハッチ 大きいサイズ 下着 小胸【tu-hacci】","5980","https://item.rakuten.co.jp/tu-hacci/8811seta/","20","ナイトブラ 育乳","40","431","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811seta","※統合後の為、使用不可2枚セット特別価格　ナイトブラ 福袋 カラーおまかせ ※クーポン利用不可※<br>ナイトブラ 育乳 授乳ブラ ブラジャー ノンワイヤー マタニティ ブラ<br>まるごと包むナイトブラ ラクシア ツーハッチ 大きいサイズ 下着 小胸【tu-hacci】","5980","https://item.rakuten.co.jp/tu-hacci/8811seta/","20","ブラ 福袋","40","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260318_登録キーワードレポート(目安CPC).csv","","8811seta","※統合後の為、使用不可2枚セット特別価格　ナイトブラ 福袋 カラーおまかせ ※クーポン利用不可※<br>ナイトブラ 育乳 授乳ブラ ブラジャー ノンワイヤー マタニティ ブラ<br>まるごと包むナイトブラ ラクシア ツーハッチ 大きいサイズ 下着 小胸【tu-hacci】","5980","https://item.rakuten.co.jp/tu-hacci/8811seta/","20","福袋 ブラジャー","40","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
